"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"21","G01 vs G05",1,1.1468148916824,6.97423946959435,0.537545147516258,0.041,0.0644285714285714,""
"22","G11 vs G02",1,0.746304798529538,3.07188810176925,0.380566239650415,0.028,0.0493740458015267,"."
"23","G11 vs G09",1,0.84062562890743,6.52116111261368,0.482292981963671,0.007,0.0202125,"."
"24","G11 vs G03",1,0.495447428288712,3.57670931711185,0.417025829472356,0.031,0.0515179856115108,""
"25","G11 vs G07",1,0.87884108943285,2.99844100811554,0.230676971664792,0.009,0.023625,"."
"26","G11 vs G08",1,0.558097448530396,2.40725877484176,0.255893755286035,0.018,0.0361565217391304,"."
"27","G11 vs G04",1,0.932308593164363,5.42969305600992,0.279453362457027,0.001,0.00607894736842105,"*"
"28","G11 vs G22",1,0.672531117887583,2.71351469665777,0.404186900493218,0.0666666666666667,0.0922155688622754,""
"29","G11 vs G12",1,1.45930228717974,5.98649334731217,0.260435258952283,0.001,0.00607894736842105,"*"
"30","G11 vs G10",1,0.45322350324125,1.86314251551312,0.271470760122169,0.088,0.11608040201005,""
"31","G11 vs G16",1,1.00533845816324,5.17852122914496,0.320086190560857,0.001,0.00607894736842105,"*"
"32","G11 vs G17",1,2.25509249196819,14.573348567816,0.387863981340727,0.001,0.00607894736842105,"*"
"33","G11 vs G14",1,1.11551651630904,6.57601398959457,0.568072394824817,0.034,0.0549230769230769,""
"34","G11 vs G06",1,1.06903358540645,5.48818830738782,0.523273242865212,0.034,0.0549230769230769,""
"35","G11 vs G13",1,0.959495317477901,3.78944932225168,0.431136147819657,0.026,0.0462,"."
"36","G11 vs G19",1,0.97668856828033,3.08252330365825,0.180448944740975,0.002,0.00871698113207547,"*"
"37","G11 vs G21",1,0.558845320727355,1.91862605753427,0.24229279720928,0.022,0.0413170731707317,"."
"38","G11 vs G20",1,0.809057590442583,2.62364250368914,0.30423831954615,0.031,0.0515179856115108,""
"39","G11 vs G15",1,0.745189500302352,3.30204914394146,0.354980831948424,0.026,0.0462,"."
"40","G11 vs G18",1,0.756013671838435,3.11593403057385,0.437881241898272,0.0666666666666667,0.0922155688622754,""
"41","G11 vs G05",1,0.751677928364755,4.50717892125816,0.52980887823993,0.0666666666666667,0.0922155688622754,""
"42","G02 vs G09",1,0.910791018430532,4.87351223843744,0.448200372756262,0.021,0.040425,"."
"43","G02 vs G03",1,0.738106641937445,3.23884901479067,0.447425966223766,0.1,0.11608040201005,""
"44","G02 vs G07",1,0.700264792751156,2.00078341017975,0.181876447847186,0.016,0.0345420560747664,"."
"45","G02 vs G08",1,0.703260450936655,2.29094948080216,0.276319314947811,0.022,0.0413170731707317,"."
"46","G02 vs G04",1,1.03201853252931,5.11515329183911,0.282368755562421,0.005,0.0162676056338028,"."
"47","G02 vs G22",1,0.532360721469831,1.31952705902573,0.305479521483389,0.3,0.316438356164384,""
"48","G02 vs G12",1,1.18013670527053,4.327816184302,0.212901186485744,0.008,0.0222650602409639,"."
"49","G02 vs G10",1,0.599387763256044,1.67047383296868,0.294591577736658,0.2,0.21588785046729,""
"50","G02 vs G16",1,0.937321890085993,3.98104397736483,0.284745830412243,0.005,0.0162676056338028,"."
"51","G02 vs G17",1,1.42294630005055,8.28607329643205,0.273593516575429,0.001,0.00607894736842105,"*"
"52","G02 vs G14",1,0.760918424170621,2.8521917668733,0.416245175837333,0.1,0.11608040201005,""
"53","G02 vs G06",1,0.858139931333985,2.87748047052272,0.418391659977192,0.1,0.11608040201005,""
"54","G02 vs G13",1,0.698088123281339,1.88040600007656,0.319774859091716,0.1,0.11608040201005,""
"55","G02 vs G19",1,0.256490805586227,0.716327986490413,0.0522244719720864,0.856,0.856,""
"56","G02 vs G21",1,0.506036709168099,1.28657335728279,0.204654154841339,0.161,0.180538834951456,""
"57","G02 vs G20",1,0.537284919935138,1.29829417321407,0.206134254372488,0.09,0.11608040201005,""
"58","G02 vs G15",1,0.641899718677233,2.04035033883376,0.289808069291583,0.081,0.110715976331361,""
"59","G02 vs G18",1,0.466743582272533,1.17718151474026,0.281812392060597,0.3,0.316438356164384,""
"60","G02 vs G05",1,0.670011142430368,2.26851169662976,0.430579227541796,0.1,0.11608040201005,""
"61","G09 vs G03",1,0.569337118697235,5.70111490186406,0.487228349578538,0.017,0.0357,"."
"62","G09 vs G07",1,1.08918508505804,4.22227820653698,0.277374920445468,0.002,0.00871698113207547,"*"
"63","G09 vs G08",1,0.716525682915719,3.74786578862343,0.319025247313673,0.014,0.032019801980198,"."
"64","G09 vs G04",1,1.09561829077315,7.11298547877868,0.321665542882251,0.001,0.00607894736842105,"*"
"65","G09 vs G22",1,0.813383816140838,4.52905063630751,0.47528875741839,0.052,0.0760253164556962,""
"66","G09 vs G12",1,2.29023158731565,10.1772963675628,0.361187824225703,0.002,0.00871698113207547,"*"
"67","G09 vs G10",1,0.740842226116385,3.9586517482741,0.397508804237497,0.021,0.040425,"."
"68","G09 vs G16",1,1.22349166047127,7.18967568807462,0.37466374132329,0.001,0.00607894736842105,"*"
"69","G09 vs G17",1,2.90637848362662,20.1271441317047,0.45611708003654,0.001,0.00607894736842105,"*"
"70","G09 vs G14",1,1.26676808821348,10.0703197028633,0.626640906283218,0.016,0.0345420560747664,"."
"71","G09 vs G06",1,1.3516037818554,9.21000614363046,0.605522841783161,0.009,0.023625,"."
"72","G09 vs G13",1,1.14925868007868,5.88060833298184,0.49497535548383,0.024,0.044,"."
"73","G09 vs G19",1,1.30036369370581,4.49181702169596,0.230446295319529,0.001,0.00607894736842105,"*"
"74","G09 vs G21",1,0.800381379086906,3.38688498784837,0.326073215580099,0.012,0.0285773195876289,"."
"75","G09 vs G20",1,0.987700865735413,3.93547973138072,0.359881763585311,0.007,0.0202125,"."
"76","G09 vs G15",1,0.90111436219909,5.00368143646563,0.416845570498488,0.005,0.0162676056338028,"."
"77","G09 vs G18",1,0.832614923233865,4.74643099061544,0.486991699339547,0.043,0.06622,""
"78","G09 vs G05",1,0.809318379246823,7.05378522268368,0.58519254262216,0.043,0.06622,""
"79","G03 vs G07",1,0.671786372422751,2.30078974083506,0.203595482581295,0.038,0.0605379310344828,""
"80","G03 vs G08",1,0.305199668686822,1.38757669614137,0.187825690779781,0.186,0.206567307692308,""
